anime_id,name,english_name,genres,studios,image_url,content,content_prep
3488,Genji Monogatari,UNKNOWN,"Drama, Romance",Group TAC,https://cdn.myanimelist.net/images/anime/13/13741.jpg,"Genji Monogatari Group TAC Drama, Romance","['genji', 'monogatari', 'group', 'tac', 'drama', 'romanc']"
3493,Ryuusei no Rockman Tribe,Megaman Star Force Tribe,Adventure,Xebec,https://cdn.myanimelist.net/images/anime/1256/94652.jpg,Ryuusei no Rockman Tribe Xebec Adventure,"['ryuusei', 'rockman', 'tribe', 'xebec', 'adventur']"
3496,Ougon no Hou: El Cantare no Rekishikan,The Golden Laws,Fantasy,Group TAC,https://cdn.myanimelist.net/images/anime/1950/112364.jpg,Ougon no Hou: El Cantare no Rekishikan Group TAC Fantasy,"['ougon', 'hou', 'cantar', 'rekishikan', 'group', 'tac', 'fantasi']"
3499,DinoZone,DinoZaurs,"Adventure, Sci-Fi",Sunrise,https://cdn.myanimelist.net/images/anime/8/67413.jpg,"DinoZone Sunrise Adventure, Sci-Fi","['dinozon', 'sunris', 'adventur', 'sci']"
3501,Wellber no Monogatari: Sisters of Wellber Zwei,Sisters of Wellber Zwei,"Adventure, Fantasy, Romance",Trans Arts,https://cdn.myanimelist.net/images/anime/7/5961.jpg,"Wellber no Monogatari: Sisters of Wellber Zwei Trans Arts Adventure, Fantasy, Romance","['wellber', 'monogatari', 'sister', 'wellber', 'zwei', 'tran', 'art', 'adventur', 'fantasi', 'romanc']"
3505,Yuusha Shirei Dagwon,Brave Command Dagwon,"Action, Adventure",Sunrise,https://cdn.myanimelist.net/images/anime/1548/91071.jpg,"Yuusha Shirei Dagwon Sunrise Action, Adventure","['yuusha', 'shirei', 'dagwon', 'sunris', 'action', 'adventur']"
3506,Connected,Connected,"Avant Garde, Sci-Fi",Studio 4°C,https://cdn.myanimelist.net/images/anime/1974/111954.jpg,"Connected Studio 4°C Avant Garde, Sci-Fi","['connect', 'studio', 'avant', 'gard', 'sci']"
3507,Survival,UNKNOWN,"Avant Garde, Drama, Supernatural",Studio 4°C,https://cdn.myanimelist.net/images/anime/7/5857.jpg,"Survival Studio 4°C Avant Garde, Drama, Supernatural","['surviv', 'studio', 'avant', 'gard', 'drama', 'supernatur']"
3508,Genius Party,UNKNOWN,"Action, Avant Garde, Fantasy, Romance, Sci-Fi",Studio 4°C,https://cdn.myanimelist.net/images/anime/1910/98828.jpg,"Genius Party Studio 4°C Action, Avant Garde, Fantasy, Romance, Sci-Fi","['geniu', 'parti', 'studio', 'action', 'avant', 'gard', 'fantasi', 'romanc', 'sci']"
3509,Riki-Oh: Toukatsu Jigoku,Riki-Oh: The Wall of Hell,Action,Magic Bus,https://cdn.myanimelist.net/images/anime/1366/99209.jpg,Riki-Oh: Toukatsu Jigoku Magic Bus Action,"['riki', 'toukatsu', 'jigoku', 'magic', 'bu', 'action']"
3511,Riki-Oh 2: Horobi no Ko,Riki-Oh 2: Child of Destruction,Action,Magic Bus,https://cdn.myanimelist.net/images/anime/8/82906.jpg,Riki-Oh 2: Horobi no Ko Magic Bus Action,"['riki', 'horobi', 'magic', 'bu', 'action']"
3512,Tenshi Nanka ja Nai,UNKNOWN,"Comedy, Drama",Group TAC,https://cdn.myanimelist.net/images/anime/2/5868.jpg,"Tenshi Nanka ja Nai Group TAC Comedy, Drama","['tenshi', 'nanka', 'nai', 'group', 'tac', 'comedi', 'drama']"
3513,Tanjou: Debut,UNKNOWN,"Romance, Slice of Life, Supernatural","Pierrot, animate Film",https://cdn.myanimelist.net/images/anime/8/71728.jpg,"Tanjou: Debut Pierrot, animate Film Romance, Slice of Life, Supernatural","['tanjou', 'debut', 'pierrot', 'anim', 'film', 'romanc', 'slice', 'life', 'supernatur']"
3514,Noramimi,UNKNOWN,Comedy,TMS Entertainment,https://cdn.myanimelist.net/images/anime/1532/133818.jpg,Noramimi TMS Entertainment Comedy,"['noramimi', 'tm', 'entertain', 'comedi']"
3515,Saint Seiya: Meiou Hades Elysion-hen,Saint Seiya: The Hades Chapter - Elysion,"Action, Adventure, Fantasy, Sci-Fi",Toei Animation,https://cdn.myanimelist.net/images/anime/9/55659.jpg,"Saint Seiya: Meiou Hades Elysion-hen Toei Animation Action, Adventure, Fantasy, Sci-Fi","['saint', 'seiya', 'meiou', 'hade', 'elys', 'hen', 'toei', 'anim', 'action', 'adventur', 'fantasi', 'sci']"
3522,Choujin Locke,Locke the Superman,"Action, Sci-Fi",Nippon Animation,https://cdn.myanimelist.net/images/anime/1904/112923.jpg,"Choujin Locke Nippon Animation Action, Sci-Fi","['choujin', 'lock', 'nippon', 'anim', 'action', 'sci']"
3525,Extra,Extra,"Action, Avant Garde, Horror, Sci-Fi",Studio 4°C,https://cdn.myanimelist.net/images/anime/9/71738.jpg,"Extra Studio 4°C Action, Avant Garde, Horror, Sci-Fi","['extra', 'studio', 'action', 'avant', 'gard', 'horror', 'sci']"
3545,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,UNKNOWN,Comedy,Gallop,https://cdn.myanimelist.net/images/anime/5/21196.jpg,Kochira Katsushikaku Kameari Kouenmae Hashutsujo Gallop Comedy,"['kochira', 'katsushikaku', 'kameari', 'kouenma', 'hashutsujo', 'gallop', 'comedi']"
3546,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Jump Festa Special,UNKNOWN,Comedy,Tatsunoko Production,https://cdn.myanimelist.net/images/anime/1343/122175.jpg,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Jump Festa Special Tatsunoko Production Comedy,"['kochira', 'katsushikaku', 'kameari', 'kouenma', 'hashutsujo', 'jump', 'festa', 'special', 'tatsunoko', 'product', 'comedi']"
3549,Allison to Lillia,Allison & Lillia,"Action, Adventure",Madhouse,https://cdn.myanimelist.net/images/anime/9/50491.jpg,"Allison to Lillia Madhouse Action, Adventure","['allison', 'lillia', 'madhous', 'action', 'adventur']"
3550,Midori no Makibao,Green Makibao,Comedy,Pierrot,https://cdn.myanimelist.net/images/anime/1986/111232.jpg,Midori no Makibao Pierrot Comedy,"['midori', 'makibao', 'pierrot', 'comedi']"
3561,Dennou Boukenki Webdiver,Brain Adventure Record Webdiver,"Action, Adventure, Sci-Fi",Radix,https://cdn.myanimelist.net/images/anime/12/5989.jpg,"Dennou Boukenki Webdiver Radix Action, Adventure, Sci-Fi","['dennou', 'boukenki', 'webdiv', 'radix', 'action', 'adventur', 'sci']"
3568,Ganbarist! Shun,UNKNOWN,"Comedy, Sports",Sunrise,https://cdn.myanimelist.net/images/anime/1867/132229.jpg,"Ganbarist! Shun Sunrise Comedy, Sports","['ganbarist', 'shun', 'sunris', 'comedi', 'sport']"
3570,Yadosagashi,House Hunting,"Adventure, Fantasy, Slice of Life",Studio Ghibli,https://cdn.myanimelist.net/images/anime/1161/106725.jpg,"Yadosagashi Studio Ghibli Adventure, Fantasy, Slice of Life","['yadosagashi', 'studio', 'ghibli', 'adventur', 'fantasi', 'slice', 'life']"
3571,Mach GoGoGo (1997),Speed Racer X,Adventure,Tatsunoko Production,https://cdn.myanimelist.net/images/anime/4/6010.jpg,Mach GoGoGo (1997) Tatsunoko Production Adventure,"['mach', 'gogogo', 'tatsunoko', 'product', 'adventur']"
3572,Macross F,Macross Frontier,"Action, Award Winning, Romance, Sci-Fi",Satelight,https://cdn.myanimelist.net/images/anime/9/15648.jpg,"Macross F Satelight Action, Award Winning, Romance, Sci-Fi","['macross', 'satelight', 'action', 'award', 'win', 'romanc', 'sci']"
